Time (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.337,0.19,0.19,1.87,0.19,0,0,0,0.19,1.12,0.19,,0.75,3.36,0.19,10.82,1.68,0.37,2.61,12.32,0.19,130.64,0,16.61,4.85,0.19,16.24,0.19,0.56,39.75,53.93,4.67,0,0.19,0.19,9.52,0,1.49,0.19,0.37,0,0,0,0,0.37
14.041,0.56,2.8,1.49,1.12,0,0,0,,0.37,0.19,,1.49,1.68,0.56,11.01,2.05,1.49,1.12,12.88,0.19,129.52,0,17.17,2.8,0.19,14.74,0.19,1.12,43.3,48.34,5.04,0,0.19,0.19,10.82,0,1.49,0.19,0.37,0,0,0,0,0.37
14.743,0.37,1.12,,1.49,0,0,0,,0.56,,,,0.93,0.56,12.32,4.29,1.12,1.12,13.25,0.19,133.25,0,18.66,0.37,0.19,14.93,0.19,0.93,44.42,35.83,5.6,0,0.19,0.19,12.13,0,1.68,0.19,0.37,0,0,0,0,0.37
15.445,0.93,1.12,,1.12,0,0,0,0.56,0.19,0.19,0.19,4.11,1.68,0.56,15.68,2.43,1.31,,13.62,0.19,138.1,0,19.04,0.75,0.19,16.61,0.19,0.75,45.54,32.66,5.97,0.37,0.19,0.19,12.69,0,1.49,0.19,0.37,0,0,0,0,0.37
16.148,1.12,2.24,0.37,1.12,0,0.19,0,0.56,0.19,0.19,,5.23,6.72,1,27.06,3.73,2.05,,14.37,0.19,142.02,0,22.58,4.11,0.19,17.73,0.19,0.19,46.47,35.27,6.53,4.48,0.19,0.19,14.74,0,2.05,0.19,0.37,0,0,0,0,0.37
16.85,1.68,2.43,0.93,,0,1.31,0,0.56,0.37,,,4.11,5.79,1,25.57,5.41,2.43,0.19,14.74,0.19,142.95,0.19,23.14,2.05,0.19,20.34,0.19,,48.52,35.65,7.28,6.72,1.87,0.19,16.61,0,2.05,0.19,0.75,0,0,0,0,0.37
17.552,2.99,2.05,0.56,0.75,0,1.49,0,0.56,1.31,0.19,,3.92,5.23,1,27.81,6.72,2.61,,14.37,0.19,139.78,0.19,26.5,2.99,0.19,21.65,0.19,,47.96,36.76,8.21,10.45,3.17,0.19,15.49,0,1.68,0.19,0.75,0.19,0,0,0,0.37
18.255,1.49,2.61,0.75,1.12,0,9.52,0,0.56,0.37,,,3.36,4.29,1,27.99,5.23,3.73,1.31,15.49,0.19,140.53,0.19,29.67,2.43,0.19,22.39,0.19,,43.67,37.32,7.65,8.4,6.72,0.19,16.24,0,2.05,0.19,0.37,0.19,0,0,0,0.37
18.957,2.61,2.99,0.56,1.49,0,14.18,0,0.56,0.75,,,3.36,4.67,1,28.55,6.91,3.73,1.68,15.3,0.19,137.36,0.19,32.85,3.92,0.56,22.77,0.19,,42.92,37.14,8.77,11.76,13.44,0.19,16.05,0,2.05,0.19,,0.56,0,0,0,0.37
19.659,2.8,2.99,0.75,0.93,0,11.01,0,0.56,2.43,,,2.8,1.12,1,30.23,4.48,3.17,1.87,16.61,0.19,131.57,0.19,34.15,3.36,1.12,23.51,0.19,,46.28,36.39,10.82,12.5,12.88,0.37,16.24,0,1.87,0.19,0.37,0.56,0,0,0,0.37
